Product URL,APPLICATION VISCOSITY (25°C),Above sea level,Accessory description,Accessory material,Accessory rated voltage,Accessory size,Accessory type,Actuator adjustment,Actuator material,Actuator type,Altitude,Ambient temperature,Application,Application Method,Application Surface,Application method,Application methods,Application surface,Application type,Approx. weight,Asset,Atmosphere,Balancing Method,Batteries Current,Battery Type,Battery type,Baud rate,Bearing cap,Body material,Bolt Material,Brake Type,Brake input Voltage,Breakdown torque,Brightness scale maximum,Brightness scale minimum,Busbar Voltage (DC),Busbar voltage (DC),By-pass transformer,CATALYSIS PER VOLUME A,CATALYSIS PER VOLUME B,CATALYSIS PER VOLUME C,Capacity @ 25°C,Casing,Certification,Code color paint,Color,Color component for terminal block,Color scale,Communication,Communication protocol,Complement,Component B,Component B type II,Component C,Connection Cables Quantity,Connection output type,Constructive form,Contact action,Contact type,Contactors compatible with this product,Control voltage,Cooling,Cura,Cure temperature,Cure time,Curing,Current type,DE bearing Seal,DESCRICAO TINTA,DRYING TOUCH (25°C),Degree of Protection,Degree of protection,Depth,Description,Design,Digital outputs,Dilution (% volume),Dimension of touch area,Dimensions,Drain,Drip Cover,Drying handling  (25°C),Duty Cycle,Efficiency @ 100%,Efficiency @ 50%,Efficiency @ 75%,"Efficiency Cos Φ 0,8 (100% of load) [%]","Efficiency Cos Φ 0,8 (25% of load) [%]","Efficiency Cos Φ 0,8 (50% of load) [%]","Efficiency Cos Φ 0,8 (75% of load) [%]","Efficiency Cos Φ 0,9 (100% of load) [%]","Efficiency Cos Φ 0,9 (25% of load) [%]","Efficiency Cos Φ 0,9 (50% of load) [%]","Efficiency Cos Φ 0,9 (75% of load) [%]","Efficiency Cos Φ 1,0 (100% of load) [%]","Efficiency Cos Φ 1,0 (25% of load) [%]","Efficiency Cos Φ 1,0 (50% of load) [%]","Efficiency Cos Φ 1,0 (75% of load) [%]",Enclosure,Enclosure type,Equalizing voltage @ 25°C,Espessura,Evaporation,Exciting current,Family,Fan Cover material,Fan material,Final drying (25° C),Floating Voltage @ 25°C,Foot flatness,Frame,Frame Material,Frequency,Function,Function complement,Gateway/Edge Device,Ground pin position,Grounding Lugs,HV rated voltage,HV/LV conductors material,Height,Hot spot,Housing material,Impedance,Impregnation Method,Input Voltage,Input voltage,Instalation,Insulating temperature class,Insulation Class,Interface 1,Interface 2,Internal resistance,Joints Seal,K Factor,L. R. Amperes,LIFETSPAN MIXTURE (25°C),LRC,Language,Law number,License,Load percentaje,Locked rotor time,Locked rotor torque,Main terminal box hole,Manimum drying refinish (25°C),Max. nominal current for terminal blocks,Max. short circuit capacity,Maximum ambient temperature,Maximum discharge current,Maximum drying refinish (25°C),Maximum output current,Maximum recharge current,Maximum temperature dry resist,Maximum thickness,Maximum thickness coat dry,Measurement type,Minimum thickness,Minimum thickness coat dry,Model,Moment of inertia (J),Motor circuit breakers compatible with this product,Mounting,NBI (AT),NDE bearing Seal,NORMATIZATION,No load current,No-load losses,Noise level,Nominal operating temperature,Nominal section of borne cable,Number of Cells,Number of Poles,Number of battery modules,Number of contacts,Number of digital inputs,"Number of digital outputs (PNP type, isolated and protected)",Number of phases,Number of points,Number of poles,Number of stages,Number of terminal poles,Operating / command voltage,Operating current,Operating temperature,Operating voltage,Operating/control voltage,Output,Output contact,Output voltage,Overload protector (phenolic),PACKAGE CONTENT,PACKAGING,PAINT COLOR,PAINT COMMERCIAL COLOR,PAINT COMPONENT,PAINT FAMILY,PAINT FINISH,PAINT FUNCTION,PAINT PRODUCTS LINE,PAINT VERSION,Pack,Painting,Partial discharge,Payloads,Phase,Power,Power factor @ 100%,Power factor @ 50%,Power factor @ 75%,Product,Product family,Product group,Protection degree,REFERENCIA TINTA LIQUIDA,RESIN SYSTEM,Rated LV voltage,Rated Voltage,Rated current,Rated power,Rated speed,Rated torque,Rated voltage,Reactive power,Regreasing System,"Regulation Cos Φ 1,0 (100% of load) [%]","Regulation Cos Φ 1,0 (80% of load) [%]","Regulation Cos Φ 1,0 (90% of load) [%]",Relays,Resilient Base,Resin Relation,Rotation,SOLIDS VOLUME,SOLVENT ETQ,Screw cap,Service factor,Shaft Locking Device,Shaft Material,Shine,Slip,Smart code,Socket Type,Solids per volume,Space Heater Voltage,Specific weight,Standard,Standard IEC 61439-1,Starting Method,Structure Color,Structure color,Subscription time,Supplement for accessories for terminal block line,Supply voltage,Surface Preparation,Surface preparation,Synchronous speed,Taps,Temperature rise,Terminal Block,Terminal line reference,Thermal Class,Thread dimension,Timing function,Total losses,Tropicalized Painting,Type,UN CODE,Unit,Use,Use recommendations,VECTOR GROUP,Voltage,Voltage switch type,Weight,Width,Winding temperature rise,Winding thermal protection
https://www.weg.net/catalog/weg/BR/en///CONNECTION-CABLE-SCW100-RJ-010/p/15236626,,,,,,,,,,,,,,,,,,,Smart Connection SCW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 Vdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en///CONNECTION-CABLE-SCW100-RJ-020/p/15236627,,,,,,,Connection cable,,,,,,,,,,,,Smart Connection SCW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not contain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 Vdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en///W22-WELL-IR3-Premium-0-5-cv-8P-90S-3Ph-220-380-V-60-Hz-IC411---TFVE---B3D/p/13587084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IPW66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABNT NBR 17094,,,,,,,,,,900 rpm,,,,,,,,,,,,,,,,220/380 V,,,,,
https://www.weg.net/catalog/weg/BR/en///W22-WELL-IR3-Premium-0-75-cv-8P-90L-3Ph-220-380-V-60-Hz-IC411---TFVE---B3D/p/13587085,,,,,,,,,,,1000 m.a.s.l.,-20°C to +40°C,,,,,,,,23.0 kg,,,,,,,,Yes- Bearing Cap,,,,,250 %,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,W3 Seal labyrinth,,,IPW66,,,,N,,,,,"Rubber, automatic",Without,,S1,74.0,68.0,72.0,,,,,,,,,,,,,IC411 - TFVE,,,,,,,Cast Iron,Aluminum,,,(0.005 pol) 0.127 mm,90L,Cast Iron,60 Hz,,,,,Single,,,,,,,Dip and Bake Polyester,,,,,F,,,,Permatex,,13.7/7.92 A,,4.0,,,,,63s (cold) 35s (hot),210 %,"RWG(Rp) 3/4""",,,,,,,,,,,,,,,,0.0066 kgm²,,B3D,,W3 Seal labyrinth,,2.60/1.51 A,,48.0 dB(A),,,,8,,,,,,,,,,,,,,,0.55 kW (0.75 HP-cv),,,Without overload protector,,,,,,,,,,,,MUNSELL 10 YR 8/14 211P (ISO 12944 - C5),,,,,0.57,0.37,0.48,,,,,,,,,3.42/1.98 A,,850 rpm,0.630 kgfm,220/380 V,,At Drive end and Non-drive end,,,,,,,Both (CW and CCW),,,STAINLESS STEEL AISI 316L,1.25,Without,SAE 1040/45 Carbon Steel,,5.56 %,,,,380 - 480 V,,,,Direct On Line,,,,,,,,,,80 K,BMC - 6 pins,,,,,,Complete (200h),,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en///W22-WELL-IR3-Premium-1-5-cv-2P-90S-3Ph-220-380-V-60-Hz-IC411---TFVE---B3D/p/12983559,,,,,,,,,,,1000 m.a.s.l.,-20°C to +40°C,,,,,,,,22.5 kg,,,1/2 Key,,,,,Yes- Bearing Cap,,,,,300 %,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,W3 Seal labyrinth,,,IPW66,,,,N,,,,,"Rubber, automatic",Without,,S1,84.5,83.0,84.5,,,,,,,,,,,,,IC411 - TFVE,,,,,,,Cast Iron,Aluminum,,,(0.005 pol) 0.127 mm,90S,Cast Iron,60 Hz,,,,,Single,,,,,,,Dip and Bake Polyester,,,,,F,,,,Permatex,,31.0/18.0 A,,7.8,,,,,43s (cold) 24s (hot),260 %,"RWG(Rp) 3/4""",,,,,,,,,,,,,,,,0.0018 kgm²,,B3D,,W3 Seal labyrinth,,1.40/0.811 A,,68.0 dB(A),,,,2,,,,,,,,,,,,,,,1.1 kW (1.5 HP-cv),,,Without overload protector,,,,,,,,,,,,MUNSELL 10 YR 8/14 211P (ISO 12944 - C5),,,,,0.86,0.72,0.82,,,,,,,,,3.98/2.30 A,,3455 rpm,0.310 kgfm,220/380 V,,At Drive end and Non-drive end,,,,,,,Both (CW and CCW),,,STAINLESS STEEL AISI 316L,1.25,Without,SAE 1040/45 Carbon Steel,,4.03 %,,,,380 - 480 V,,,,Direct On Line,,,,,,,,,,80 K,BMC - 6 pins,,,,,,Complete (200h),,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en///W22-WELL-IR3-Premium-1-5-cv-4P-L90S-3Ph-220-380-V-60-Hz-IC411---TFVE---B3D/p/12984924,,,,,,,,,,,1000 m.a.s.l.,-20°C to +40°C,,,,,,,,25.1 kg,,,1/2 Key,,,,,Yes- Bearing Cap,,,,,290 %,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,W3 Seal labyrinth,,,IPW66,,,,N,,,,,"Rubber, automatic",Without,,S1,86.5,82.5,85.5,,,,,,,,,,,,,IC411 - TFVE,,,,,,,Cast Iron,Aluminum,,,(0.005 pol) 0.127 mm,L90S,Cast Iron,60 Hz,,,,,Single,,,,,,,Dip and Bake Polyester,,,,,F,,,,Permatex,,31.7/18.3 A,,7.6,,,,,32s (cold) 18s (hot),220 %,"RWG(Rp) 3/4""",,,,,,,,,,,,,,,,0.0060 kgm²,,B3D,,W3 Seal labyrinth,,2.40/1.39 A,,51.0 dB(A),,,,4,,,,,,,,,,,,,,,1.1 kW (1.5 HP-cv),,,Without overload protector,,,,,,,,,,,,MUNSELL 10 YR 8/14 211P (ISO 12944 - C5),,,,,0.80,0.60,0.73,,,,,,,,,4.17/2.41 A,,1755 rpm,0.610 kgfm,220/380 V,,At Drive end and Non-drive end,,,,,,,Both (CW and CCW),,,STAINLESS STEEL AISI 316L,1.25,Without,SAE 1040/45 Carbon Steel,,2.50 %,,,,380 - 480 V,,,,Direct On Line,,,,,,,,,,80 K,BMC - 6 pins,,,,,,Complete (200h),,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en///W22-WELL-IR3-Premium-1-5-cv-6P-100L-3Ph-220-380-V-60-Hz-IC411---TFVE---B3D/p/14259941,,,,,,,,,,,1000 m.a.s.l.,-20°C to +40°C,,,,,,,,34.9 kg,,,,,,,,Yes- Bearing Cap,,,,,260 %,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,W3 Seal labyrinth,,,IPW66,,,,N,,,,,"Rubber, automatic",Without,,S1,87.5,82.5,85.5,,,,,,,,,,,,,IC411 - TFVE,,,,,,,Cast Iron,Plastic,,,(0.005 pol) 0.127 mm,100L,Cast Iron,60 Hz,,,,,Single,,,,,,,Dip and Bake Polyester,,,,,F,,,,Permatex,,32.1/18.6 A,,6.6,,,,,88s (cold) 49s (hot),240 %,"RWG(Rp) 3/4""",,,,,,,,,,,,,,,,0.0176 kgm²,,B3D,,W3 Seal labyrinth,,2.80/1.62 A,,48.0 dB(A),,,,6,,,,,,,,,,,,,,,1.1 kW (1.5 HP-cv),,,Without overload protector,,,,,,,,,,,,MUNSELL 10 YR 8/14 211P (ISO 12944 - C5),,,,,0.68,0.46,0.59,,,,,,,,,4.86/2.81 A,,1160 rpm,0.924 kgfm,220/380 V,,At Drive end and Non-drive end,,,,,,,Both (CW and CCW),,,STAINLESS STEEL AISI 316L,1.25,Without,SAE 1040/45 Carbon Steel,,3.33 %,,,,380 - 480 V,,,,Direct On Line,,,,,,,,,,80 K,BMC - 6 pins,,,,,,Complete (200h),,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en///W22-WELL-IR3-Premium-1-5-cv-8P-100L-3Ph-220-380-V-60-Hz-IC411---TFVE---B3D/p/12807336,,,,,,,,,,,1000 m.a.s.l.,-20°C to +40°C,,,,,,,,33.4 kg,,,1/2 Key,,,,,Yes- Bearing Cap,,,,,229 %,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,W3 Seal labyrinth,,,IPW66,,,,N,,,,,"Rubber, automatic",Without,,S1,78.5,73.0,78.0,,,,,,,,,,,,,IC411 - TFVE,,,,,,,Cast Iron,Plastic,,,(0.005 pol) 0.127 mm,100L,Cast Iron,60 Hz,,,,,Single,,,,,,,Dip and Bake Polyester,,,,,F,,,,Permatex,,28.7/16.6 A,,4.6,,,,,34s (cold) 19s (hot),210 %,"RWG(Rp) 3/4""",,,,,,,,,,,,,,,,0.0143 kgm²,,B3D,,W3 Seal labyrinth,,5.20/3.01 A,,54.0 dB(A),,,,8,,,,,,,,,,,,,,,1.1 kW (1.5 HP-cv),,,Without overload protector,,,,,,,,,,,,MUNSELL 10 YR 8/14 211P (ISO 12944 - C5),,,,,0.59,0.40,0.50,,,,,,,,,6.24/3.61 A,,860 rpm,1.25 kgfm,220/380 V,,At Drive end and Non-drive end,,,,,,,Both (CW and CCW),,,STAINLESS STEEL AISI 316L,1.25,Without,SAE 1040/45 Carbon Steel,,4.44 %,,,,380 - 480 V,,,,Direct On Line,,,,,,,,,,80 K,BMC - 6 pins,,,,,,Complete (200h),,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en///W22-WELL-IR3-Premium-1-cv-4P-L90S-3Ph-220-380-V-60-Hz-IC411---TFVE---B3D/p/12920857,,,,,,,,,,,1000 m.a.s.l.,-20°C to +40°C,,,,,,,,24.0 kg,,,1/2 Key,,,,,Yes- Bearing Cap,,,,,320 %,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,W3 Seal labyrinth,,,IPW66,,,,N,,,,,"Rubber, automatic",Without,,S1,85.5,80.0,84.0,,,,,,,,,,,,,IC411 - TFVE,,,,,,,Cast Iron,Aluminum,,,(0.005 pol) 0.127 mm,L90S,Cast Iron,60 Hz,,,,,Single,,,,,,,Dip and Bake Polyester,,,,,F,,,,Permatex,,22.0/12.8 A,,7.6,,,,,41s (cold) 23s (hot),260 %,"RWG(Rp) 3/4""",,,,,,,,,,,,,,,,0.0049 kgm²,,B3D,,W3 Seal labyrinth,,1.60/0.926 A,,51.0 dB(A),,,,4,,,,,,,,,,,,,,,0.75 kW (1 HP-cv),,,Without overload protector,,,,,,,,,,,,MUNSELL 10 YR 8/14 211P (ISO 12944 - C5),,,,,0.79,0.60,0.72,,,,,,,,,2.90/1.68 A,,1755 rpm,0.416 kgfm,220/380 V,,At Drive end and Non-drive end,,,,,,,Both (CW and CCW),,,STAINLESS STEEL AISI 316L,1.25,Without,SAE 1040/45 Carbon Steel,,2.50 %,,,,380 - 480 V,,,,Direct On Line,,,,,,,,,,80 K,BMC - 6 pins,,,,,,Complete (200h),,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en///W22-WELL-IR3-Premium-1-cv-6P-L90S-3Ph-220-380-V-60-Hz-IC411---TFVE---B3D/p/13578754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IPW66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABNT NBR 17094,,,,,,,,,,1200 rpm,,,,,,,,,,,,,,,,220/380 V,,,,,
