Product URL,Feature,Value
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Asset-Management/WEG-Motion-Fleet-Management/WEG-Motion-Fleet-Management/p/80002640,Subscription time,1 year
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Asset-Management/WEG-Motion-Fleet-Management/WEG-Motion-Fleet-Management/p/80002640,Payloads,10.000
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Energy-Management/WEG-Energy-Management-on-premise/WEG-Energy-Management/p/80002702,Type,Energy Management Software
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Energy-Management/WEG-Energy-Management-on-premise/WEG-Energy-Management/p/80002702,Number of points,64 points
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Energy-Management/WEG-Energy-Management-on-premise/WEG-Energy-Management/p/80002704,Type,Energy Management Software
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Energy-Management/WEG-Energy-Management-on-premise/WEG-Energy-Management/p/80002704,Number of points,256 points
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Impregnation-Varnishes/Electric-Motors/Over-50-Hp/LACKTHERM-1313/p/VERNIZ_IMPREGNACAO_LACKTHERM_1313,RESIN SYSTEM,Modified Imide Polyester
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Impregnation-Varnishes/Electric-Motors/Over-50-Hp/LACKTHERM-1313/p/VERNIZ_IMPREGNACAO_LACKTHERM_1313,Color,Dark Amber
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Impregnation-Varnishes/Electric-Motors/Over-50-Hp/LACKTHERM-1313/p/VERNIZ_IMPREGNACAO_LACKTHERM_1313,Thermal Class,H - 180ºC
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Impregnation-Varnishes/Electric-Motors/Over-50-Hp/LACKTHERM-1313/p/VERNIZ_IMPREGNACAO_LACKTHERM_1313,PAINT COMPONENT,Monocomponent
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Asset-Management/WEG-Motion-Fleet-Management/WEG-Motion-Fleet-Management/p/80002219,Subscription time,1 year
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Asset-Management/WEG-Motion-Fleet-Management/WEG-Motion-Fleet-Management/p/80002219,Payloads,Unlimited
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Asset-Management/WEG-Motion-Fleet-Management/WEG-Motion-Fleet-Management/p/80002169,Subscription time,2 year
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Energy-Management/WEG-Energy-Management-on-premise/WEG-Energy-Management/p/80002705,Type,Energy Management Software
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Energy-Management/WEG-Energy-Management-on-premise/WEG-Energy-Management/p/80002705,Number of points,512 points
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Diluent/Cleaning-Solvent/SOLUTION-DEGREASER/p/SOLUCAO_DESENGRAXANTE,PAINT PRODUCTS LINE,Plastic
