Product URL,ACABAMENTO PINTURA,Brilho,COMPONENTE TINTA,CONTEUDO EMBALAGEM,COR COMERCIAL TINTA,COR TINTA,Classe Térmica,Cor,Cura,EMBALAGEM,Escala de cor,FUNCAO TINTA,Família,Função,LINHA PRODUTOS TINTAS,SISTEMA RESINA,SOLIDOS VOLUME,VERSAO TINTA
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Aditivo/DILUENTE-PU-ACELERADOR-SECAGEM/p/12908111,,,,,,,,,,Lata Retangular,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Resina/DILUENTE-RESINA-LACKTHERM-1105/p/10001382,,,,,,,,,,Lata Quadrada,,,,,Resina Impregnação,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Resina/DILUENTE-RESINA-LACKTHERM-1105/p/10001383,,,,,,,,,,Lata Retangular,,,,,Resina Impregnação,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-1001/p/10001033,,,,,,,,,,Lata Quadrada,,,,,Alquídico,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-1001/p/10001034,,,,,,,,,,Lata Redonda,,,,,Alquídico,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-1001/p/10001035,,,,,,,,,,Lata Retangular,,,,,Alquídico,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-1001/p/10001036,,,,,,,,,,Tambor,,,,,Alquídico,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-1001/p/13805677,,,,,,,,,,Container,,,,,Alquídico,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-1002/p/10001038,,,,,,,,,,Lata Quadrada,,,,,Alquídico,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-1002/p/10001039,,,,,,,,,,Lata Redonda,,,,,Alquídico,,,
