Product URL,Accessory description,Accessory type 1,Actuator type,Application,Bluetooth network,Body material,Color,Color scale,Connectivity mode,Contact action,Cura,Degree of Protection,Ethernet network,Evaporation,Family,Frequency,Function,Input voltage,Memory type,Model,Module type,Nominal section of borne cable,Number of points,Number of poles,Optional,PACKAGING,PAINT COLOR,PAINT COMMERCIAL COLOR,PAINT COMPONENT,PAINT FINISH,PAINT FUNCTION,PAINT PRODUCTS LINE,PAINT VERSION,Payloads,Product family,RESIN SYSTEM,Rated Power,Real time clock (RTC),SOLIDS VOLUME,Shine,Size,Smart code,Standard,Storage capacity,Subscription time,Supplement for accessories for terminal block line,Supply voltage,Synchronous speed,Terminal line reference,Thermal Class,Type,Voltage,Wi-Fi network
https://www.weg.net/catalog/weg/BR/en/Building-%26-Infrastructure/Residential-Plugs-and-Sockets/Equille/Assemblies/Bells/c/BR_WDC_OUTLET_EQUILLE_CONJ_ELETRON_CAMP_CIGARRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bivolt 127/220 Vac,,,,Buzzer,,
https://www.weg.net/catalog/weg/BR/en/Building-%26-Infrastructure/Residential-Plugs-and-Sockets/Equille/Assemblies/Miscellaneous/c/BR_WDC_OUTLET_EQUILLE_CONJ_COMPL_ACESS,,1 x Wire 11 mm outlet module,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 x 2""",,,,,,,,,,Plate and support,,
https://www.weg.net/catalog/weg/BR/en/Building-%26-Infrastructure/Residential-Plugs-and-Sockets/Equille/Assemblies/Momentary-Switches/c/BR_WDC_OUTLET_EQUILLE_CONJ_PULSADORES,,,,,,,White,,,,,,,,,,,,,,,,,,"With plate 4x2""",,,,,,,,,,,,,,,,,,,,,,,,,,Bell,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/ADESIVO-DE-LAMINA%C3%87%C3%83O-ST/p/15555030,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,,,,Smooth,Putty,Automotive Refinishing,,,,Polyester,,,NAO RELEVANTE,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/ADESIVO-PLASTICO-LIGHT-ST/p/15555028,,,,,,,,0,,,,,,,,,,,,,,,,,,Can,,,,Smooth,Putty,Automotive Refinishing,,,,Polyester,,,NAO RELEVANTE,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/ADESIVO-PLASTICO-ST/p/15554927,,,,,,,,0,,,,,,,,,,,,,,,,,,Can,,,,Smooth,Putty,Automotive Refinishing,,,,Polyester,,,NAO RELEVANTE,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/AUTOBODY-SEALER-ST/p/15436950,,,,,,,,0,,,,,,,,,,,,,,,,,,Can,,,,Smooth,Putty,Automotive Refinishing,,,,Polyester,,,NAO RELEVANTE,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/BODY-FILLER-LIGHT-ST/p/12808829,,,,,,,,0,,,,,,,,,,,,,,,,,,Can,,,,Smooth,Finishing,Automotive Refinishing,,,,Polyester,,,NAO RELEVANTE,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/BODY-FILLER-W4000/p/12750915,,,,,,,,0,,,,,,,,,,,,,,,,,,Can,,,,Smooth,Finishing,Automotive Refinishing,,,,Polyester,,,90 ± 2% (ISO 3233 - 1998),Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/Fiberglass-cloth/p/15710670,,,,,,,,0,,,,,,,,,,,,,,,,,,250g BAG,,,,Smooth,SEALING,Automotive Refinishing,,,,-,,,SEM SOLVENTE,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/GLAZING-AND-SPOT-PUTTY-ST/p/15090552,,,,,,,,0,,,,,,,,,,,,,,,,,,Collapsible Tub Container,Grey,,,Smooth,Putty,Automotive Refinishing,,,,Maleic/Nitrocellulose,,,NAO RELEVANTE,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/PASTY-REMOVER-ST/p/12259261,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,,,,Special,,Remover,,,,,,,,Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/PASTY-REMOVER-ST/p/12659080,,,,,,,,0,,,,,,,,,,,,,,,,,,Metallic Gallon,,,,,,Remover,,,,Maleic/Nitrocellulose,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/POLISHING-PUTTY-HT/p/12270856,,,,,,,,0,,,,,,,,,,,,,,,,,,Pot,White,White,,Special,Putty,Automotive Refinishing,,,,,,,,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/SEALER-FOR-PLASTIC-COLORLESS-ST/p/12259304,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,,,,Smooth,Finishing,Automotive Refinishing,,,,Vinylic,,,,Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/TOUCH-UP-SPREADER/p/12260614,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Colorless,,,Smooth,Finishing,Polyurethane,,,,Acrylic,,,,Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/UNIVERSAL-MATTING-ST/p/12253902,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,,,,,Intermediate,Automotive Refinishing,,,,Acrylic,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/UNIVERSAL-PRIMER-ST/p/12258733,,,,,,,,0,,,,,,,,,,,,,,,,,,Metallic Gallon,Grey,Grey,,Smooth,Primer,Automotive Refinishing,,,,Modified Alkyd,,,,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/UNIVERSAL-PRIMER-ST/p/12258734,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Grey,Grey,,Smooth,Primer,Automotive Refinishing,,,,Modified Alkyd,,,,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/UNIVERSAL-PRIMER-ST/p/12275752,,,,,,,,0,,,,,,,,,,,,,,,,,,Metallic Gallon,White,White,,,Primer,Automotive Refinishing,,,,Modified Alkyd,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/UNIVERSAL-PRIMER-ST/p/12275753,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,White,White,,,Primer,Automotive Refinishing,,,,Modified Alkyd,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/VINYLIC-BLACK-MATTE-ST/p/12260702,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Black,,,Smooth,Finishing,Automotive Refinishing,,,,Vinylic,,,NAO RELEVANTE,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/VINYLIC-BLACK-MATTE-ST/p/12261828,,,,,,,,0,,,,,,,,,,,,,,,,,,Metallic Gallon,Black,Black Matte,,Smooth,Double Function,Automotive Refinishing,,,,Vinylic,,,,Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Complements-Line/VINYLIC-BLACK-MATTE-ST/p/15636968,,,,,,,,,,,,,,,,,,,,,,,,,,Plastic Bombona,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
