Product URL,Feature,Value
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Asset-Management/WEG-Transformer-Fleet-Management/WEG-Transformer-Fleet-Management/p/80002909,Subscription time,1 year
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/Asset-Management/WEG-Transformer-Fleet-Management/WEG-Transformer-Fleet-Management/p/80002909,Payloads,Unlimited
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Diluent/Resin-Diluent/LACKTHERM-1105-RESIN-DILUENT/p/DILUENTE_RESINA_LACKTHERM_1105,PAINT PRODUCTS LINE,Impregnation Resin
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Diluent/Resin-Diluent/LACKTHERM-1105-RESIN-DILUENT/p/DILUENTE_RESINA_LACKTHERM_1105,Function,Resin Diluent
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Diluent/Resin-Diluent/LACKTHERM-1105-RESIN-DILUENT/p/DILUENTE_RESINA_LACKTHERM_1105,Evaporation,Medium
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/IoT-Edge-Platform-%28SCADA%29/WEGnology-Edge-Suite/WEGnology-Edge-Suite/p/80002846,Type,Software WES Runtime Only (Hot-Standby)
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/IoT-Edge-Platform-%28SCADA%29/WEGnology-Edge-Suite/WEGnology-Edge-Suite/p/80002846,Number of points,Unlimited points
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/IoT-Edge-Platform-%28SCADA%29/WEGnology-Edge-Suite/WEGnology-Edge-Suite/p/80002840,Type,WES Engineering and Runtime Software
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/IoT-Edge-Platform-%28SCADA%29/WEGnology-Edge-Suite/WEGnology-Edge-Suite/p/80002840,Number of points,Unlimited points
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/IoT-Edge-Platform-%28SCADA%29/WEGnology-Edge-Suite/WEGnology-Edge-Suite/p/80002839,Type,WES Engineering and Runtime Software (Hot-Standby)
https://www.weg.net/catalog/weg/BR/en/Digital-Solutions-and-Smart-Grid/IoT-Edge-Platform-%28SCADA%29/WEGnology-Edge-Suite/WEGnology-Edge-Suite/p/80002839,Number of points,Unlimited points
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Powder-Coating/Low-Bake/POLITHERM-62-W-ECO/p/POLITHERM62WECO,Family,Politherm 62 W-Eco
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Powder-Coating/Low-Bake/POLITHERM-62-W-ECO/p/POLITHERM62WECO,PAINT PRODUCTS LINE,Hybrid
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Powder-Coating/Low-Bake/POLITHERM-62-W-ECO/p/POLITHERM62WECO,PAINT VERSION,Heavy Metals Free (W-Eco)
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Powder-Coating/Low-Bake/POLITHERM-62-W-ECO/p/POLITHERM62WECO,Cura,Low
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/UHT-Line/CLEARCOAT-UHT-W-50/p/15577041,PACKAGING,Round Can
