Product URL,Feature,Value
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17541339,COR TINTA,Branco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17541339,COR COMERCIAL TINTA,Branco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17541339,Escala de cor,W RAL 9003
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17541339,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17541339,Brilho,Semi-Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17541339,EMBALAGEM,Tambor
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17541339,LINHA PRODUTOS TINTAS,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17541339,FUNCAO TINTA,Acabamento
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17541339,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17541339,SOLIDOS VOLUME,50 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17543952,COR TINTA,Amarelo
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17543952,COR COMERCIAL TINTA,Amarelo
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17543952,Escala de cor,0
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17543952,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17543952,Brilho,Ultra-Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17543952,EMBALAGEM,Tambor
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17543952,LINHA PRODUTOS TINTAS,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17543952,FUNCAO TINTA,Acabamento
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17543952,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17543952,SOLIDOS VOLUME,45 ± 3% (ISO 3233)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,COR TINTA,Preto
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,COR COMERCIAL TINTA,Preto
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,Escala de cor,70.265
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,Brilho,Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,EMBALAGEM,Tambor
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,LINHA PRODUTOS TINTAS,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,FUNCAO TINTA,Acabamento
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,SOLIDOS VOLUME,50 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,COR TINTA,Branco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,COR COMERCIAL TINTA,Branco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,Escala de cor,60.611
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,Brilho,Brilhante
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,EMBALAGEM,Tambor
